Wall time,Step,Value
1755044495.3647518,300,17.160158157348633
1755044956.337642,601,18.579015731811523
1755045417.811486,902,19.36444854736328
1755045879.1929092,1203,19.51247215270996
1755046340.180752,1504,19.79749870300293
1755046798.2595718,1805,20.746217727661133
1755047259.6712224,2106,21.03571891784668
1755047721.1112638,2407,20.81899070739746
1755048182.7370076,2708,20.828168869018555
1755048644.427931,3009,21.351701736450195
1755049106.1759217,3310,21.66600227355957
1755049568.2459397,3611,21.883790969848633
1755050029.5134296,3912,21.757633209228516
1755050487.614972,4213,21.78458023071289
1755050945.339227,4514,22.011703491210938
1755051403.0893207,4815,21.676380157470703
1755051860.8032699,5116,22.026294708251953
1755052318.302726,5417,21.704315185546875
1755052776.3344223,5718,22.331392288208008
1755053237.7419927,6019,22.286287307739258
1755053695.8653011,6320,22.40800666809082
1755054157.6247451,6621,22.444580078125
1755054619.1461563,6922,22.331342697143555
1755055080.3248773,7223,22.377483367919922
1755055538.7394598,7524,22.412477493286133
1755056000.145073,7825,22.426860809326172
1755056457.7039857,8126,21.309587478637695
1755056915.5716953,8427,22.452743530273438
1755057373.467187,8728,22.442991256713867
1755057831.0337112,9029,22.49785614013672
1755058289.0185611,9330,22.52315902709961
1755058746.8918493,9631,22.535978317260742
1755059204.815384,9932,22.26786994934082
1755059662.563815,10233,22.553194046020508
1755060120.459559,10534,22.58234977722168
1755060578.045547,10835,22.534940719604492
1755061035.762268,11136,22.602157592773438
1755061493.775642,11437,22.59688949584961
1755061951.4008179,11738,22.60980987548828
1755062409.5137095,12039,22.559329986572266
1755062867.210652,12340,22.62639045715332
1755063324.7370973,12641,22.63022232055664
1755063782.3242908,12942,22.64317512512207
1755064240.624935,13243,22.649946212768555
1755064698.2607124,13544,22.657087326049805
1755065155.6683533,13845,22.661893844604492
1755065613.3845885,14146,22.66769027709961
1755066071.338061,14447,22.666215896606445
1755066529.2813153,14748,22.669160842895508
